ProCtcae Term,Ctcae Term,Display Order,Question Type,Question Text,ProCtc Valid Values
"Aching joints","Arthralgia (joint pain)","1","Frequency","How OFTEN did you have $","Never/Rarely/Occasionally/Frequently/Almost Constantly"
"Aching joints","Arthralgia (joint pain)","2","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Aching joints","Arthralgia (joint pain)","3","Interference","How much did $ INTERFERE with your (daily activities):","Not at all/A little bit/Somewhat/Quite a bit/Very much"
"Aching muscles","Myalgia","1","Frequency","How OFTEN did you have $","Never/Rarely/Occasionally/Frequently/Almost Constantly"
"Aching muscles","Myalgia","2","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Aching muscles","Myalgia","3","Interference","How much did $ INTERFERE with your (daily activities):","Not at all/A little bit/Somewhat/Quite a bit/Very much"
"Acne","Acne","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Anxiety (worry)","Anxiety","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Anxiety (worry)","Anxiety","2","Interference","How much did $ INTERFERE with your (daily activities):","Not at all/A little bit/Somewhat/Quite a bit/Very much"
"Arm or leg swelling","Edema:Limb","1","Frequency","How OFTEN did you have $","Never/Rarely/Occasionally/Frequently/Almost Constantly"
"Arm or leg swelling","Edema:Limb","2","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Arm or leg swelling","Edema:Limb","3","Interference","How much did $ INTERFERE with your (daily activities):","Not at all/A little bit/Somewhat/Quite a bit/Very much"
"Bloating of the abdomen (belly)","Distension/bloating, abdominal","1","Frequency","How OFTEN did you have $","Never/Rarely/Occasionally/Frequently/Almost Constantly"
"Bloating of the abdomen (belly)","Distension/bloating, abdominal","2","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Blurred vision","Vision - blurred vision","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Body odor more than usual","Odor","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Breast area enlargement","Gynecomastia","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Bruising easily","Easy bruising","1","Present/Not Present","Did you have any $","Yes/No"
"Changes in sense of taste or problems tasting food","Taste alteration (dysgeusia)","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Constipation","Constipation","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Cough","Cough","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Cough","Cough","2","Interference","How much did $ INTERFERE with your (daily activities):","Not at all/A little bit/Somewhat/Quite a bit/Very much"
"Decreased appetite","Anorexia","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Decreased appetite","Anorexia","2","Interference","How much did $ INTERFERE with your (daily activities):","Not at all/A little bit/Somewhat/Quite a bit/Very much"
"Decreased sexual interest","Libido","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Decreased sweating","Hypohidrosis","1","Present/Not Present","Did you have any $","Yes/No"
"Diarrhea","Diarrhea","1","Frequency","How OFTEN did you have $","Never/Rarely/Occasionally/Frequently/Almost Constantly"
"Diarrhea","Diarrhea","2","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Difficulty getting or keeping an erection","Erectile dysfunction","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Difficulty sleeping (insomnia)","Insomnia","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
"Difficulty swallowing","Dysphagia","1","Severity","What was the WORST SEVERITY of your $","None/Mild/Moderate/Severe/Very severe"
