llt_code,llt_name,pt_code,llt_whoart_code,llt_harts_code,llt_costart_sym,llt_icd9_code,llt_icd9cm_code,llt_icd10_code,llt_currency,llt_jart_code
10000045,Abdomen enlarged,10000060,711001,5,ABDO ENLARGE,,,,Y,814
10000055,Abdominal colic,10000081,,,,,,,Y,
10000056,Abdominal cramp,10000081,,,PAIN ABDO,,,,Y,
10000060,Abdominal distension,10000060,711005,,ABDO ENLARGE,,,,Y,
10000065,Abdominal fullness,10000060,,,,,,,Y,
10000081,Abdominal pain,10000081,268001,3880,PAIN ABDO,789,789,,Y,812
10000424,Ache,10033371,,,PAIN,,,,Y,
10000425,Ache across chest,10008479,,,,,,,Y,
10000426,Ache breast,10006298,,,PAIN BREAST,,,,Y,
10000430,Ache wrists,10003239,,,,,,,Y,
10000431,Aches & pains in legs,10033425,,,,,,,Y,
10000447,Aching in knees,10003239,,,,,,,Y,
10000450,"Aching pain in hands, forearms, elbows",10033425,,,,,,,Y,
10000464,Acid indigestion,10013946,279003,,DYSPEPSIA,,,,Y,38403
10000496,Acne,10000496,1001,80,ACNE,,,,Y,299
10001464,After taste,10013911,,,TASTE PERVERS,,,,Y,
10001495,Agitated,10001497,,,,,,,Y,
10001497,Agitation,10001497,163001,140,AGITATION,,,,Y,189
10001529,Air hunger,10013968,517004,,HYPERVENTIL,,,,Y,7803
10001718,Allergic reaction,10020751,712001,195,ALLERG REACT,,,,Y,19
10001738,Allergy,10020751,1058001,,ALLERG REACT,,,,Y,2226
10001760,Alopecia,10001760,2001,200,ALOPECIA,704,704,,Y,594
10001854,Altered state of consciousness,10001854,151011,,,,,,Y,
10002507,Anguish,10002855,,,,,,,Y,80405
10002542,Ankle edema,10030124,,,EDEMA PERIPH,,,,Y,
10002646,Anorexia,10061428,165001,395,ANOREXIA,783,783,,Y,402
10002652,Anorgasmia,10002652,1220001,397,ANORGASMIA,,,,Y,2470
10002856,Anxiety attack,10002855,166015,,ANXIETY,,,,Y,80406
10002875,Anxious mood,10002855,,,,,,,Y,
10003017,Appetite absent,10061428,165005,,ANOREXIA,,,,Y,40203
10003025,Appetite impaired,10061428,165006,,ANOREXIA,,,,Y,40202
10003028,Appetite lost,10061428,165003,,ANOREXIA,,,,Y,40205
10003031,Appetite suppression,10061428,165007,,,,,,Y,
10003061,Apprehension,10002855,166007,,ANXIETY,,,,Y,80408
10003104,Arousal difficult,10012373,151005,,STUPOR,,,,Y,28806
10003239,Arthralgia,10003239,63001,505,ARTHRALGIA,,,,Y,116
10003244,Arthritic pains,10003239,,,,,,,Y,
10003246,Arthritis,10003246,64001,510,ARTHRITIS,,,,Y,114
10003729,Attention concentration difficulty,10013496,,,,,,,Y,33414
10003738,Attention impaired,10013496,,,,,,,Y,
10003740,Attentiveness decreased,10013496,,,,,,,Y,33415
10003744,Attitude changed,10034719,,,PERSON DIS,,,,Y,
10003978,Back ache,10003988,717004,,PAIN BACK,,,,Y,74405
10003988,Back pain,10003988,717001,3885,PAIN BACK,,,,Y,744
10003993,Backache,10003988,,,,,,,Y,
10004082,Baldness,10001760,2006,,ALOPECIA,,,,Y,59403
10004981,Blackheads,10000496,,,ACNE,,,,Y,
10005032,Bladder cramps,10005063,,,,,,,Y,83403
10005045,Bladder inability to empty,10046555,157006,,URIN RETENT,,,,Y,71001
10005046,Bladder incontinence,10046543,156007,,INCONTIN URIN,,,,Y,70905
10005063,Bladder pain,10005063,,,PAIN,,,,Y,
10005071,Bladder retention,10046555,157005,,URIN RETENT,,,,Y,71003
10005124,Bleeding nose,10015090,,,EPISTAXIS,,,,Y,
10005169,Blindness,10005169,232001,725,BLIND,,,,Y,866
10005181,Blindness night,10029404,234001,,BLIND NIGHT,,,,Y,887
10005264,Bloated feeling,10000060,,,,,,,Y,
10005265,Bloating,10000060,285008,,FLATUL,,,,Y,84104
10005886,Blurred vision,10047513,,205,AMBLYOPIA,,,,Y,
10005887,Blurring of eyes,10047513,,,,,,,Y,
10005888,Blurring of vision,10047513,,,,,,,Y,
10005902,Body odour,10040904,1392001,,,,,,Y,2482
10005905,Body smell altered,10040904,,,,,,,Y,78401
10006002,Bone pain,10006002,1347004,3895,PAIN BONE,,,,Y,228302
10006298,Breast pain,10006298,1839001,3900,PAIN BREAST,,,,Y,68320
10006332,Breath shortness,10013968,514003,,DYSPNEA,,,,Y,26902
10006338,Breathing difficult,10013968,514008,,DYSPNEA,,,,Y,26905
10006345,Breathlessness,10013968,,,,,,,Y,
10006373,Brittle nails,10048886,20008,,,,,,Y,65708
10006464,Bronchoconstriction,10006482,,,,,,,Y,
10006482,Bronchospasm,10006482,511001,812,ASTHMA,,,,Y,132
10006502,Bruise,10050584,459004,,ECCHYMOSIS,,,,Y,34905
10006504,Bruising,10050584,,,,,,,Y,
10006634,Burn,10053615,1809001,,,,,,Y,
10007031,Calf pain,10033425,1439003,,,,,,Y,259401
10008296,Cervical pain,10028836,717011,,,,,,Y,74409
10008406,Character change,10034719,192003,,,,,,Y,41204
10008417,Cheilitis,10008417,270001,980,CHEILITIS,,,,Y,252
10008461,Chest ache,10008479,718009,,PAIN CHEST,,,,Y,15201
10008465,Chest burning,10008479,,,,,,,Y,
10008469,Chest discomfort,10008469,718003,,PAIN CHEST,,,,Y,15214
10008479,Chest pain,10008479,718001,,PAIN CHEST,,,,Y,
10008531,Chills,10008531,731004,990,CHILLS,,,,Y,6402
10009165,Churning of stomach,10028813,,,,,,,Y,
10009850,Coitus painful,10013941,,,DYSPAREUNIA,,,,Y,
10009881,Colic,10000081,,,PAIN,,,,Y,
10010101,Comedo,10000496,,,,,,,Y,29902
10010249,Concentration impaired,10013496,1127001,,THINKING ABNORM,,,,Y,2110
10010250,Concentration impairment,10013496,,,,,,,Y,
10010251,Concentration loss,10013496,,,,,,,Y,211001
10010300,Confusion,10010305,92001,1180,CONFUS,,,,Y,296
10010305,Confusional state,10010305,92005,,,,,,Y,29603
10010765,Consciousness abnormal,10012373,,,,,,,Y,28802
10010768,Consciousness decreased,10012373,151009,,,,,,Y,28814
10011286,Cramp abdominal,10000081,268012,,PAIN ABDO,,,,Y,81219
10011293,Cramps,10028334,73008,,,,,,Y,
10011974,Decreased night vision,10029404,,,,,,,Y,
10012174,Dehydration,10012174,370001,1365,DEHYDRAT,,,,Y,593
10012377,Depressed state,10012378,172006,,DEPRESSION,,,,Y,89705
10012378,Depression,10012378,172001,1390,DEPRESSION,,,,Y,897
10012399,Depressive disorder,10012378,,,,,,,Y,
10012432,Dermatitis acneiform,10012432,,,,,,,Y,
10012485,Dermatitis photosensitive,10034972,,,,,,,Y,25302
10012703,Diaphoresis,10020642,43003,,SWEAT,,,,Y,74905
10012727,Diarrhea,10012735,,1435,DIARRHEA,,787.91,,Y,
