llt_code,llt_name,pt_code,llt_whoart_code,llt_harts_code,llt_costart_sym,llt_icd9_code,llt_icd9cm_code,llt_icd10_code,llt_currency,llt_jart_code
10000045,Abdomen agrandado,10000060,711001,5,ABDO ENLARGE,,,,Y,814
10000055,Cólico abdominal,10000081,,,,,,,Y,
10000056,Calambre abdominal,10000081,,,PAIN ABDO,,,,Y,
10000060,Distensión abdominal,10000060,711005,,ABDO ENLARGE,,,,Y,
10000065,Plenitud abdominal,10000060,,,,,,,Y,
10000081,Dolor abdominal,10000081,268001,3880,PAIN ABDO,789,789,,Y,812
10000424,Dolor,10033371,,,PAIN,,,,Y,
10000425,Dolor a través del pecho,10008479,,,,,,,Y,
10000426,Dolor de mama,10006298,,,PAIN BREAST,,,,Y,
10000430,Dolor de muñecas,10003239,,,,,,,Y,
10000431,Dolores en piernas,10033425,,,,,,,Y,
10000447,Rodillas doloridas,10003239,,,,,,,Y,
10000450,"Dolor en manos, antebrazos y codos",10033425,,,,,,,Y,
10000464,Indigestión ácida,10013946,279003,,DYSPEPSIA,,,,Y,38403
10000496,Acné,10000496,1001,80,ACNE,,,,Y,299
10001464,Persistencia del sabor,10013911,,,TASTE PERVERS,,,,Y,
10001495,Agitado,10001497,,,,,,,Y,
10001497,Agitación,10001497,163001,140,AGITATION,,,,Y,189
10001529,Disnea de Kussmaul,10013968,517004,,HYPERVENTIL,,,,Y,7803
10001718,Reacción alérgica,10020751,712001,195,ALLERG REACT,,,,Y,19
10001738,Alergia,10020751,1058001,,ALLERG REACT,,,,Y,2226
10001760,Alopecia,10001760,2001,200,ALOPECIA,704,704,,Y,594
10001854,Estado de conciencia alterado,10001854,151011,,,,,,Y,
10002507,Angustia,10002855,,,,,,,Y,80405
10002542,Edema de tobillo,10030124,,,EDEMA PERIPH,,,,Y,
10002646,Anorexia,10061428,165001,395,ANOREXIA,783,783,,Y,402
10002652,Anorgasmia,10002652,1220001,397,ANORGASMIA,,,,Y,2470
10002856,Crisis de ansiedad,10002855,166015,,ANXIETY,,,,Y,80406
10002875,Estado de ánimo ansioso,10002855,,,,,,,Y,
10003017,Falta de apetito,10061428,165005,,ANOREXIA,,,,Y,40203
10003025,Apetito alterado,10061428,165006,,ANOREXIA,,,,Y,40202
10003028,Apetito perdido,10061428,165003,,ANOREXIA,,,,Y,40205
10003031,Supresión del apetito,10061428,165007,,,,,,Y,
10003061,Aprensión,10002855,166007,,ANXIETY,,,,Y,80408
10003104,Despertar dificil,10012373,151005,,STUPOR,,,,Y,28806
10003239,Artralgia,10003239,63001,505,ARTHRALGIA,,,,Y,116
10003244,Dolores artríticos,10003239,,,,,,,Y,
10003246,Artritis,10003246,64001,510,ARTHRITIS,,,,Y,114
10003729,Dificultad para la atención y la concentración,10013496,,,,,,,Y,33414
10003738,Atención alterada,10013496,,,,,,,Y,
