PRO-CTCAE System ID,PRO-CTCAE Term,FREQ,SEV,INT,AMT,PRES/ABS,pCTCAE,Verbatim
10001,"Aching joints (such as elbows, knees, shoulders)",0,0,0,n/a,n/a,0,
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,0,n/a,n/a,0,
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,1,n/a,n/a,3,"Aching joints: occurs rarely, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,2,n/a,n/a,4,"Aching joints: occurs rarely, interferes somewhat with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,3,n/a,n/a,5,"Aching joints: occurs rarely, interferes quite a bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,0,4,n/a,n/a,6,"Aching joints: occurs rarely, interferes very much with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,0,n/a,n/a,7,"Aching joints: occurs rarely, mild severity, does not interfere with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,1,n/a,n/a,8,"Aching joints: occurs rarely, mild severity, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,2,n/a,n/a,9,"Aching joints: occurs rarely, mild severity, interferes somewhat with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,3,n/a,n/a,10,"Aching joints: occurs rarely, mild severity, interferes quite a bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,1,4,n/a,n/a,11,"Aching joints: occurs rarely, mild severity, interferes very much with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,0,n/a,n/a,12,"Aching joints: occurs rarely, moderate severity, does not interfere with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,1,n/a,n/a,13,"Aching joints: occurs rarely, moderate severity, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,2,n/a,n/a,14,"Aching joints: occurs rarely, moderate severity, interferes somewhat with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,3,n/a,n/a,15,"Aching joints: occurs rarely, moderate severity, interferes quite a bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,2,4,n/a,n/a,16,"Aching joints: occurs rarely, moderate severity, interferes very much with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,0,n/a,n/a,17,"Aching joints: occurs rarely, severe, does not interfere with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,1,n/a,n/a,18,"Aching joints: occurs rarely, severe, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,2,n/a,n/a,19,"Aching joints: occurs rarely, severe, interferes somewhat with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,3,n/a,n/a,20,"Aching joints: occurs rarely, severe, interferes quite a bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,3,4,n/a,n/a,21,"Aching joints: occurs rarely, severe, interferes very much with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,0,n/a,n/a,22,"Aching joints: occurs rarely, very severe, does not interfere with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,1,n/a,n/a,23,"Aching joints: occurs rarely, very severe, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,2,n/a,n/a,24,"Aching joints: occurs rarely, very severe, interferes somewhat with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,3,n/a,n/a,25,"Aching joints: occurs rarely, very severe, interferes quite a bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",1,4,4,n/a,n/a,26,"Aching joints: occurs rarely, very severe, interferes very much with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,0,n/a,n/a,0,
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,1,n/a,n/a,28,"Aching joints: occurs occasionally, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,2,n/a,n/a,29,"Aching joints: occurs occasionally, interferes somewhat with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,3,n/a,n/a,30,"Aching joints: occurs occasionally, interferes quite a bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,0,4,n/a,n/a,31,"Aching joints: occurs occasionally, interferes very much with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,1,0,n/a,n/a,32,"Aching joints: occurs occasionally, mild severity, does not interfere with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,1,1,n/a,n/a,33,"Aching joints: occurs occasionally, mild severity, interferes a little bit with activities"
10001,"Aching joints (such as elbows, knees, shoulders)",2,1,2,n/a,n/a,34,"Aching joints: occurs occasionally, mild severity, interferes somewhat with activities"
