Language,PRO-CTCAE Term,Attribute,Core Item,Language specific PRO-CTCAE Term Display,Language specific PRO-CTCAE Question Display,,Clinician Display Term,Clinician Display Category,Gender,Response Option - 1,Response Option - 2,Response Option - 3,Response Option - 4,Response Option - 5,Response Option - 6,Response Option - 7
Spanish,Took too long to have an orgasm or climax,1-Present/Absent,,Tomó mucho tiempo para tener un orgasmo o clímax,Te sentiste que TARDÓ DEMASIADO EN TENER UN ORGASMO O CLÍMAX,,Delayed orgasm,Psychiatric disorders,both,Sí , No , No está sexualmente activo , Prefiere no contestar,,,
,Unexpected decrease in sweating,1-Present/Absent,,descenso inesperado de la sudoración,Ha tenido una DISMINUCIÓN INESPERADA DE LA SUDORACIÓN,,Hypohidrosis,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Unable to have an orgasm or climax,1-Present/Absent,,No se puede tener un orgasmo o clímax,NO PUDO TENER UN ORGASMO O CLÍMAX,,Anorgasmia,Psychiatric disorders,both,Sí , No , No está sexualmente activo , Prefiere no contestar,,,
,Bruise easily (black and blue marks),1-Present/Absent,,Moratones con facilidad (y azul marcas negro),Qué MORATONES CON FACILIDAD (AZUL Y NEGRO MARCA),,Bruising,"Injury, poisoning and procedural complications",both,Sí , No,,,,,
,Lose any fingernails or toenails,1-Present/Absent,,Perder las uñas o uñas de los pies,PERDIÓ CUALQUIER UÑAS O UÑAS DE LOS PIES,,Nail loss,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Miss an expected menstrual period,1-Present/Absent,,La señorita de un periodo menstrual,FALTÓ UN PERIODO MENSTRUAL,,Irregular menstruation,Reproductive system and breast disorders,female,Sí , No , No aplicable,,,,
,Bed sores,1-Present/Absent,,Las escaras,Tuvo ALGUNA ÚLCERAS POR PRESIÓN,,Skin ulceration,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Change in the color of your fingernails or toenails,1-Present/Absent,,Cambio en el color de sus uñas o uñas de los pies,Tuvo usted algún CAMBIO EN EL COLOR DE SUS UÑAS O DE LOS PIES,,Nail discoloration,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Flashing lights in front of your eyes,1-Present/Absent,,Las luces intermitentes frente a sus ojos,Tuvo alguna LUCES INTERMITENTES FRENTE A SUS OJOS,,Flashing lights,Eye disorders,both,Sí , No,,,,,
,Hives (itchy red bumps on the skin),1-Present/Absent,,Urticaria (ronchas rojas en la piel),Tuvo alguna URTICARIA (ROJO PICANTE HINCHAZÓN EN LA PIEL),,Urticaria,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Increased passing of gas (flatulence),1-Present/Absent,,El aumento de pasar de gas (flatulencia),Tuvo alguna PASAR AUMENTO DE GAS (FLATULENCIA),,Flatulence,Gastrointestinal disorders,both,Sí , No,,,,,
,Increased skin sensitivity to sunlight,1-Present/Absent,,El aumento de la sensibilidad cutánea a la luz del sol,Tuvo alguna AUMENTO DE LA PIEL DE SENSIBILIDAD A LA LUZ DEL SOL,,Photosensitivity,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Irregular menstrual periods,1-Present/Absent,,Períodos menstruales irregulares,Tuvo alguna IRREGULAR PERÍODOS MENSTRUALES,,Irregular menstruation,Reproductive system and breast disorders,female,Sí , No , No aplicable,,,,
,"Pain, swelling, or redness at a site of drug injection or IV",1-Present/Absent,,"Dolor, hinchazón o enrojecimiento en el sitio de la inyección de drogas o IV","Se siente DOLOR, HINCHAZÓN O ENROJECIMIENTO EN UN SITIO DE DROGAS O DE INYECCIÓN IV",,Injection site reaction,General disorders and administration site conditions,both,Sí , No , No aplicable,,,,
,Rash,1-Present/Absent,X,Erupción,Tuvo alguna RASH,,Rash maculo-papular,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Ridges or bumps on your fingernails or toenails,1-Present/Absent,,Crestas o protuberancias en las uñas o uñas de los pies,Tuvo alguna CRESTAS O PROTUBERANCIAS EN LAS UÑAS O UÑAS DE LOS PIES,,Nail ridging,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Spots of lines (floaters) that drift in front of your eyes,1-Present/Absent,,Puntos de las líneas (flotadores) que la deriva frente a sus ojos,Tuvo alguna MANCHAS O LÍNEAS (FLOTADORES) QUE DERIVA EN EL FRENTE DE LOS OJOS,,Floaters,Eye disorders,both,Sí , No,,,,,
,Stretch marks,1-Present/Absent,,Estrías,Tuvo alguna ESTRÍAS,,"Skin and subcutaneous tissue disorders - Other, specify (Striae)",Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Unusual darkening of the skin,1-Present/Absent,,Insólito oscurecimiento de la piel,Tuvo alguna OSCURECER INUSUAL DE LA PIEL,,Skin hyperpigmentation,Skin and subcutaneous tissue disorders,both,Sí , No,,,,,
,Urine color change,1-Present/Absent,,La orina cambia de color,Tuvo alguna ORINA CAMBIO DE COLOR,,Urine discoloration,Renal and urinary disorders,both,Sí , No,,,,,
,Voice changes,1-Present/Absent,,Cambios en la voz,Tuvo usted algún CAMBIO EN LA VOZ,,Voice alteration,"Respiratory, thoracic and mediastinal disorders",both,Sí , No,,,,,
,Frequent urination,2-Frequency,,Orinar con frecuencia,Hubo momentos en los que tenía que ORINAR CON FRECUENCIA,,Urinary frequency,Renal and urinary disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre , No aplica,
