llt_code,llt_name,pt_code,llt_whoart_code,llt_harts_code,llt_costart_sym,llt_icd9_code,llt_icd9cm_code,llt_icd10_code,llt_currency,llt_jart_code
10000001,Ventilation pneumonitis,10001890,,,,495.7,,,N,
10000002,11-beta-hydroxylase deficiency,10000002,,,,,,,Y,
10000003,11-oxysteroid activity incr,10033315,413004,,,,,,N,
10000004,11-oxysteroid activity increased,10033315,,,,,,,Y,17701
10000005,17 ketosteroids urine,10000005,,,,,,,Y,
10000006,17 ketosteroids urine abnormal NOS,10061608,,,,,,,Y,
10000007,17 ketosteroids urine decreased,10000007,,,,,,,Y,
10000008,17 ketosteroids urine high,10000009,,,,,,,Y,
10000009,17 ketosteroids urine increased,10000009,,,,,,,Y,
10000010,17 ketosteroids urine low,10000007,,,,,,,Y,
10000011,17 ketosteroids urine normal,10000011,,,,,,,Y,
10000012,17 OHCS increased,10020539,,,,,,,N,
10000013,"17,20-desmolase deficiency",10000013,,,,,,,Y,
10000014,17-alpha-hydroxylase deficiency,10000014,,,,,,,Y,
10000015,17-hydroxycorticosteroid activity increased,10021684,,,,,,,Y,
10000016,17-hydroxysteroid activity incr,10021684,413005,,,,,,N,
10000017,17-hydroxysteroid activity increased,10021684,,,,,,,Y,17706
10000018,1st degree heart block,10003674,,,,,,,Y,
10000019,1st degree vaginal prolapse,10046940,,,,,,,Y,
10000020,"20,22-desmolase deficiency",10000020,,,,,,,Y,
10000021,21-hydroxylase deficiency,10000021,,,,,,,Y,
10000022,2nd degree heart block,10003677,,,,,,,Y,
10000023,2nd degree vaginal prolapse,10046940,,,,,,,Y,
10000024,"3,5,3-triiodothyronine abnormal",10044592,,,,,,,Y,
10000025,"3,5,3-triiodothyronine decreased",10044594,,,,,,,Y,
10000026,"3,5,3-triiodothyronine increased",10044596,,,,,,,Y,
10000027,3rd degree vaginal prolapse,10046940,,,,,,,Y,
10000028,5'nucleotidase increased,10000028,,,,,,,Y,
10000029,5-alpha-reductase deficiency,10000029,,,,,,,Y,
10000030,5a-reductase inhibition therapy,10067528,,,,,,,Y,
10000031,5q-syndrome,10068532,,,,,,,Y,
10000033,A-hypervitaminosis,10020916,,,,,,,Y,1251
10000034,A-V dissociation,10069571,,,,,,,Y,5410
10000035,A-V malformation,10003193,,,,,,,Y,
10000036,A.R.D.S.,10001052,,,,,,,Y,
10000037,A/G ratio,10001562,,,,,,,Y,
10000038,A/G ratio normal,10001569,,,,,,,Y,
10000039,Abd. pain,10000081,,,,,,,N,
10000040,Abdo pain,10000081,,,,,,,N,
10000041,Abdo. bloating,10000060,,,,,,,N,
10000042,Abdo. discomfort,10000059,,,,,,,N,
10000043,Abdomen burning sensation of,10000059,,,,,,,N,81220
10000044,Abdomen crushing,10000044,,,,,,,Y,
10000045,Abdomen enlarged,10000060,711001,5,ABDO ENLARGE,,,,Y,814
10000046,Abdomen enlarged feeling of,10000060,,,,,,,Y,84106
10000047,Abdomen mimicking acute,10000647,,,ABDO SYND ACUTE,,,,Y,
10000048,Abdominal abscess NOS,10060921,,,,,,,Y,
10000049,Abdominal actinomycotic infection,10000621,,,,39.2,39.2,,Y,
10000050,Abdominal adhesions,10000050,1559001,,,,,,Y,2451
10000051,Abdominal aneurysm,10002882,,,,,,,Y,
10000052,Abdominal aneurysm without mention of rupture,10002882,,,,441.4,441.4,,Y,
10000053,"Abdominal aneurysm, ruptured",10002886,,,,441.3,441.3,,Y,
10000054,Abdominal aortic aneurysm,10002882,,,,,,,Y,
10000055,Abdominal colic,10000081,,,,,,,Y,
10000056,Abdominal cramp,10000081,,,PAIN ABDO,,,,Y,
10000057,Abdominal cramps,10000081,,,,,,,Y,
10000058,Abdominal crampy pains,10000081,,,,,,,Y,
10000059,Abdominal discomfort,10000059,268013,,PAIN ABDO,,,,Y,81223
10000060,Abdominal distension,10000060,711005,,ABDO ENLARGE,,,,Y,
